strategy,sharpe,ci_low,ci_high,p_sharpe_gt_0,deflated_sharpe,expected_max_sharpe_from_search
Buy&Hold,0.578265264345821,-0.14914243400111357,1.339399927311717,0.1104,0.01675392479014558,1.3537528507175192
RSI(14),0.42390837122430575,-0.3280380687672702,1.1845494952043694,0.2496,0.0052416673059291425,1.3537528507175192
Tech+Regime,0.34361358022202415,-0.3448453987394439,1.0467221609086614,0.3244,0.0027060381374036137,1.3537528507175192
Tech+Sent+Regime,0.1767906244715048,-0.5095844287298525,0.8678542594293884,0.6052,0.0005934260185882613,1.3537528507175192
Full+Debate,0.13142509041018877,-0.581968456910617,0.8546456721812951,0.7044,0.00038411981660659315,1.3537528507175192
MACD,0.019729748908389695,-0.6457189165900739,0.6525791697178521,0.9496,0.00011989436389206786,1.3537528507175192
KDJ+RSI,-0.34350300206098294,-0.970193800487523,0.30981684391677544,0.3364,1.7975460327632303e-06,1.3537528507175192
Tech-only,-0.4123697946345849,-1.247671027938758,0.5290641745436373,0.4432,2.2358764625906242e-07,1.3537528507175192
MeanReversion,-1.4079567529096715,-2.0461818131658305,-0.765053290518832,0.0,2.6070918859029138e-14,1.3537528507175192
Tech+Sentiment,-2.089612435103653,-2.7656006186168667,-1.4038912128407106,0.0,4.337866960020593e-23,1.3537528507175192
