strategy,CAGR,"Sharpe(net,excess)",Sharpe(gross),MaxDD,Calmar,HitRate,AnnVol,Turnover/yr,Exposure,CostDrag/yr,Days
Buy&Hold,0.1618685419220911,0.578265264345821,0.5795011276630806,-0.38557758445099055,0.41980796718919655,0.5274725274725275,0.18997647238290422,0.13186813186813187,1.0,0.0002223594725274725,1911
RSI(14),0.12294764332250008,0.42390837122430575,0.46434436026010495,-0.39758703171415066,0.3092345411580088,0.5965463108320251,0.17032961314109524,4.274097331240189,0.6003139717425431,0.0068964268565149135,1911
Tech+Regime,0.10096906718789178,0.34361358022202415,0.5768225235458447,-0.20654246611611682,0.4888537891821609,0.531658817373103,0.13813403278164066,19.983047134545277,0.8657874842431877,0.03220313916833891,1911
Tech+Sent+Regime,0.07611764738627147,0.1767906244715048,0.6600998587004138,-0.2416663670199496,0.3149699659282251,0.5196232339089482,0.14374831706423613,43.041256399763114,0.8992480118936051,0.06935512544989879,1911
Full+Debate,0.0690746873028325,0.13142509041018877,0.5867219479362461,-0.25879842409189824,0.2669053629101867,0.521193092621664,0.14629805464220041,41.244357902175985,0.9073689552783264,0.06645991587122546,1911
MACD,0.05066387523406379,0.019729748908389695,0.466184040458461,-0.29422515154869944,0.1721942361738508,0.510727367870225,0.15431540765927232,42.762009419152285,0.7749869178440607,0.06890321743233908,1911
KDJ+RSI,-0.0005384533490643273,-0.34350300206098294,0.23401043964290133,-0.39346641645523117,-0.0013684861694558189,0.5970695970695971,0.14195384341803202,50.86635269492414,0.34358974358974365,0.08196708009712193,1911
Tech-only,0.030549217177708865,-0.4123697946345849,-0.27293134899633753,-0.2540955373491036,0.12022728732829764,0.8131868131868132,0.06342345289498075,5.48649557083748,0.16143937512377288,0.008839984312618189,1911
MeanReversion,-0.1809815156447424,-1.4079567529096715,0.6802128285578791,-0.7964342387350748,-0.22723974791965712,0.4369440083725798,0.17253669405528915,223.5236002093145,0.7591836734693879,0.3601569263807431,1911
Tech+Sentiment,-0.1462383901120453,-2.089612435103653,-0.11428672253681928,-0.7081244528345495,-0.2065150970661556,0.4427001569858713,0.10106541147092091,123.92445936373541,0.46091971809362015,0.19967031096279395,1911
