strategy,n_days,alpha_annualized,alpha_tstat,alpha_pvalue,beta_mkt,beta_mkt_tstat,beta_wml,beta_wml_tstat,r_squared
Buy&Hold,1904,0.1088745248691032,5.569352498978294,2.9210416085945212e-08,1.0068038436780784,155.0843628495102,-0.047555251256176656,-8.753390962919074,0.9281429953577527
RSI(14),1904,0.09115156366454014,2.5927530725202654,0.009594115358303235,0.7658590629145483,65.0654244418255,-0.11868050337458104,-12.04856961515496,0.7053645873618404
Tech+Regime,1904,0.06167356910706845,1.7959334885653984,0.07266383750389971,0.5724654056163304,49.107572891994565,0.08287620805926707,8.495399279191972,0.5609962877237555
Tech+Sent+Regime,1904,0.03601541472456682,1.1099385407065636,0.2671658914598227,0.631913853140585,56.6686642237234,0.07862482317198419,8.425573696194517,0.6290294432982152
Full+Debate,1904,0.029855824342363446,0.9189637615277271,0.3582311115399248,0.6484638843292028,57.907251521279626,0.07112063334770188,7.589225806795723,0.6386357652388348
MACD,1904,0.023728940149885247,0.6140627223182342,0.5392473568635978,0.6091283204643584,45.595788790967305,-0.08343330063884039,-7.462942003475651,0.537728221482705
Tech-only,1904,0.020181243591513187,0.9696675738479693,0.33233557148487636,0.15823098944409256,21.953030510715685,-0.002121654482058317,-0.3517485345757942,0.20398783316734115
KDJ+RSI,1904,-0.025242101623162982,-0.6964199502396162,0.48625101318159425,0.5520069336380805,42.990429064874725,-0.02091264314586205,-1.946215262057103,0.49736627265718725
Tech+Sentiment,1904,-0.16188343070825228,-6.255731729506526,4.875089221201279e-10,0.35875508142892565,36.344748620054084,-0.0007606473500893219,-0.09208346762366938,0.41195844183584607
MeanReversion,1904,-0.21164896699328306,-6.958664806010881,4.710232204274689e-12,0.7987651774984894,66.85221990554511,-0.0320557164899778,-3.2059511353517665,0.705409560518028
