strategy,regime,n_days,cumulative_return,max_drawdown,hit_rate,sharpe_net,cagr
Buy&Hold,bull,851,0.6375713092186837,-0.14909683424921827,0.5287896592244419,0.7091471743901369,0.15725600381496463
RSI(14),bull,851,0.5123039554266724,-0.06611018067129648,0.6603995299647474,0.8098240421614701,0.1303036332691876
Tech+Regime,bull,851,0.4707268500626576,-0.14418965421355334,0.5276145710928319,0.4783190381804717,0.12101120142961364
Tech+Sent+Regime,bull,851,0.38473541059493455,-0.14504909503510577,0.5252643948296122,0.3480588321435845,0.1011889596562825
Full+Debate,bull,851,0.42040463398787975,-0.14461783998594524,0.5276145710928319,0.4031960263237919,0.1095135283649935
MACD,bull,851,0.22420913424489997,-0.143314410229878,0.5170387779083431,0.07900209394954016,0.06173466972998831
KDJ+RSI,bull,851,-0.037861288794250436,-0.13539234741165018,0.6286721504112809,-1.1238038862520014,-0.01136425814451103
Tech-only,bull,851,0.18486184825184138,-0.07292619897093944,0.7978848413631022,-0.15585742699496308,0.051513001024846794
MeanReversion,bull,851,-0.487383919577435,-0.5134537542855093,0.4300822561692127,-2.0117844648877283,-0.17952938267374097
Tech+Sentiment,bull,851,-0.4214812288293207,-0.4387088315106379,0.40658049353701525,-2.518112294593052,-0.14961239833600182
Buy&Hold,choppy,971,0.677179825676355,-0.21102641935504352,0.525231719876416,0.5025028928110716,0.14362676730056956
RSI(14),choppy,971,0.39808659335000773,-0.2233665201724777,0.5468589083419155,0.2524913642027621,0.0908622511341397
Tech+Regime,choppy,971,0.33856279804361233,-0.17664909463658507,0.5345005149330587,0.1925498777666687,0.07861407098303164
Tech+Sent+Regime,choppy,971,0.19794609953124365,-0.2097557497600676,0.513903192584964,0.0009124686196223141,0.047988539804638686
Full+Debate,choppy,971,0.15263316996362142,-0.2277595680547344,0.5128733264675592,-0.061742602014209114,0.03755341464342066
MACD,choppy,971,-0.09681463913177335,-0.25300238633964045,0.49536560247167866,-0.4807560172435595,-0.02608076891792621
KDJ+RSI,choppy,971,0.0979545375062254,-0.18763788970967277,0.576725025746653,-0.184354936927656,0.02454893608139619
Tech-only,choppy,971,0.12168901993039682,-0.11624278028715995,0.8259526261585994,-0.39088169178839416,0.030251404712506647
MeanReversion,choppy,971,-0.5625784674575678,-0.5925138888763618,0.4407826982492276,-1.526235005117775,-0.1931289000591231
Tech+Sentiment,choppy,971,-0.4713116666031175,-0.48867199244717896,0.46138002059732236,-2.109183347770207,-0.15245442669384823
Buy&Hold,crash,82,0.13832569615480828,-0.23573202374281887,0.573170731707317,,
RSI(14),crash,82,0.1499825031497617,-0.240346960635331,0.5609756097560976,,
Tech+Regime,crash,82,0.03640121117971318,-0.010958186415877647,0.5365853658536586,,
Tech+Sent+Regime,crash,82,0.04585783048333414,-0.046522589573236295,0.5487804878048781,,
Full+Debate,crash,82,0.015210171110562998,-0.07664086475680942,0.5609756097560976,,
MACD,crash,82,0.2989221530136519,-0.09862022989096009,0.6585365853658537,,
KDJ+RSI,crash,82,-0.048698613826877235,-0.24014392891895375,0.524390243902439,,
Tech-only,crash,82,-0.06612002651827609,-0.09220979057227352,0.8048780487804879,,
MeanReversion,crash,82,-0.018342638429935998,-0.24140218415918957,0.4878048780487805,,
Tech+Sentiment,crash,82,-0.004172561306691969,-0.10009802698676484,0.5975609756097561,,
