strategy,benchmark,n_days,beta,treynor,information_ratio,upside_capture,downside_capture
Tech-only,Nifty50,1904,0.15845318194150054,-0.17450326983745998,-0.5899399506311768,0.15651857597645455,0.14447933316204659
Tech-only,EqualWeightUniverse,1911,0.15125322719775586,-0.1729147650590263,-0.7973785552843228,0.15127301717686237,0.1442016453509194
Tech-only,NiftyNext50,1646,0.11961843669267928,-0.22508403611803657,-0.7088342823288373,0.1072802316198573,0.09494658587185849
Tech+Regime,Nifty50,1904,0.5637861075496146,0.08097718588532389,-0.18376757150413298,0.7453680656506132,0.7345582465691414
Tech+Regime,EqualWeightUniverse,1911,0.5626021097235979,0.0843664265281995,-0.5188535983413465,0.7188097254031685,0.7350420608488295
Tech+Regime,NiftyNext50,1646,0.3898377994952516,0.13887166381126256,-0.33462125360660555,0.48501915497600245,0.45673390289688764
Tech+Sentiment,Nifty50,1904,0.35883474102279095,-0.5864259247705573,-1.9978525337748179,0.30228202045168256,0.5135765660172962
Tech+Sentiment,EqualWeightUniverse,1911,0.3539042150773246,-0.5967364376328811,-2.2298717057619055,0.3034055931205895,0.5201864531025936
Tech+Sentiment,NiftyNext50,1646,0.25880206861969535,-0.8580211113961016,-1.8716167610969952,0.15704680144006847,0.33542417453592094
Tech+Sent+Regime,Nifty50,1904,0.6236797858282332,0.04003874080522358,-0.38451948049664575,0.7812472529543708,0.7984280221000626
Tech+Sent+Regime,EqualWeightUniverse,1911,0.6216749065187163,0.040878849176694355,-0.7766913170108024,0.7524383132486255,0.7981210073796893
Tech+Sent+Regime,NiftyNext50,1646,0.43010156646020853,0.058672889931703574,-0.5215490576628129,0.49664096318947765,0.4972778637203541
Full+Debate,Nifty50,1904,0.6410157011898772,0.030690313974064583,-0.43886064518847645,0.7862770806098026,0.8100446562678667
Full+Debate,EqualWeightUniverse,1911,0.6391607761155316,0.030082000924772808,-0.8523853265770074,0.759367205097828,0.8128635014075959
Full+Debate,NiftyNext50,1646,0.44796745494645684,0.04488832531388668,-0.5608100584074212,0.4991349381549043,0.5049708623660671
Buy&Hold,Nifty50,1904,1.0117841114079413,0.10943399589719499,0.8194222689718843,1.032865426462737,0.9901547557833961
Buy&Hold,EqualWeightUniverse,1912,1.000107678415996,0.10953629181864896,-0.3630415447024165,1.0,1.0002362447533486
Buy&Hold,NiftyNext50,1646,0.7205212942127057,0.14157749946986486,-0.068901044639953,0.6979665299222741,0.658651708860507
MACD,Nifty50,1904,0.6178659475129595,0.0024683640117707487,-0.5247557428955018,0.7095311325557652,0.7426778610033591
MACD,EqualWeightUniverse,1912,0.6273020273794081,0.004383875601040342,-0.8851243744743567,0.6976969241996023,0.757458318409587
MACD,NiftyNext50,1646,0.4197758378188085,0.02711650093547244,-0.5636995227523983,0.4471463693723477,0.4529003508865408
RSI(14),Nifty50,1904,0.7782879599056483,0.0948573946017445,0.05518016016060871,0.6968450947844923,0.6479570337759568
RSI(14),EqualWeightUniverse,1912,0.7599794549956244,0.0937754172815688,-0.38027783386253,0.6787530591072173,0.6622964020276844
RSI(14),NiftyNext50,1646,0.5507135487734439,0.09024348750958382,-0.3900718810848238,0.4693877678867538,0.44277876611462647
KDJ+RSI,Nifty50,1904,0.5541969123279236,-0.08577935096082405,-0.8954771269964386,0.40705278820421587,0.4522321165482668
KDJ+RSI,EqualWeightUniverse,1912,0.534349672438835,-0.09279796924540394,-1.198888264874048,0.3904585391852712,0.4509708422649417
KDJ+RSI,NiftyNext50,1646,0.4154633266513459,-0.16883772466441616,-1.0706301300935803,0.283398015686624,0.33952555547254976
MeanReversion,Nifty50,1904,0.8021221678710597,-0.30363940827716557,-3.0971855135870787,0.6361802734488559,0.9310810975832359
MeanReversion,EqualWeightUniverse,1912,0.7833805720645514,-0.3103490166357725,-3.656658415962783,0.6233037355407868,0.9311376339996256
MeanReversion,NiftyNext50,1646,0.5834580024222992,-0.4391851877558382,-2.4214117717721164,0.4110507575874469,0.6617959940034777
