strategy,CAGR,"Sharpe(net,excess)",Sharpe(gross),MaxDD,Calmar,HitRate,AnnVol,Turnover/yr,Exposure,CostDrag/yr,Days
Buy&Hold,0.1618685419220911,0.578265264345821,0.5795011276630806,-0.38557758445099055,0.41980796718919655,0.5274725274725275,0.18997647238290422,0.13186813186813187,1.0,0.0002223594725274725,1911
RSI(14),0.12294764332250008,0.42390837122430575,0.46434436026010495,-0.39758703171415066,0.3092345411580088,0.5965463108320251,0.17032961314109524,4.274097331240189,0.6003139717425431,0.0068964268565149135,1911
LSTM-TAL,0.07044288081340455,0.14188608104792652,0.28843221404417213,-0.444571916829258,0.1584510360344214,0.5416012558869702,0.16331077751031903,14.854107796964941,0.7267399267399268,0.023937280733228674,1911
MACD,0.05066387523406379,0.019729748908389695,0.466184040458461,-0.29422515154869944,0.1721942361738508,0.510727367870225,0.15431540765927232,42.762009419152285,0.7749869178440607,0.06890321743233908,1911
PLSTM-TAL,0.03747450453724288,-0.05179105946702885,0.12151728733835082,-0.4494649897610923,0.08337580321253053,0.5416012558869702,0.16171301451037665,17.381266352694926,0.7206698063840922,0.028015038370277346,1911
PLSTM,0.012936037331534367,-0.17326095073723446,0.24556768562950648,-0.3866121544220378,0.033459986147804835,0.5201465201465202,0.17423607901140586,45.274201988487704,0.8232339089481946,0.0729568614829932,1911
LSTM,0.0008927291477611732,-0.27904291745727056,0.2941233022547858,-0.33799641694374516,0.00264123849546534,0.511250654107797,0.1597561924059077,56.83160648874936,0.832443746729461,0.09157845210633175,1911
KDJ+RSI,-0.0005384533490643273,-0.34350300206098294,0.23401043964290133,-0.39346641645523117,-0.0013684861694558189,0.5970695970695971,0.14195384341803202,50.86635269492414,0.34358974358974365,0.08196708009712193,1911
RandomControl,-0.15990597027412756,-1.38008637143445,0.23263863797163598,-0.7466379707572721,-0.21416801252679943,0.4803767660910518,0.159218613474188,159.30936682365254,0.832443746729461,0.25669328397969643,1911
MeanReversion,-0.1809815156447424,-1.4079567529096715,0.6802128285578791,-0.7964342387350748,-0.22723974791965712,0.4369440083725798,0.17253669405528915,223.5236002093145,0.7591836734693879,0.3601569263807431,1911
