run,architecture,n,accuracy,precision,recall,f1,mcc,auc,predicted_up_rate,actual_up_rate
LSTM-TAL_seed0,LSTM-TAL,19110,0.5029827315541602,0.5097766855433272,0.49282098956719345,0.501155462184874,0.006237816602382942,0.5034407165414128,0.4897435897435897,0.5065934065934066
LSTM-TAL_seed1,LSTM-TAL,19110,0.5023024594453166,0.5102533172496985,0.4369383328168578,0.4707584441600356,0.006407695681732264,0.5018064649201017,0.43380429094714806,0.5065934065934066
LSTM-TAL_seed2,LSTM-TAL,19110,0.5019361590790162,0.5087851676188423,0.4875529387459973,0.49794282097267645,0.004258157468036898,0.4997537251231892,0.48545264259549975,0.5065934065934066
LSTM_seed0,LSTM,19110,0.5065934065934066,0.5116991643454039,0.5692593740316083,0.5389467507701335,0.011605204316127162,0.505301858088376,0.5635792778649922,0.5065934065934066
LSTM_seed1,LSTM,19110,0.5041339612768184,0.5097796011830932,0.5519057948559033,0.5300069437555798,0.0070236228160527854,0.5057976998328556,0.5484563055991627,0.5065934065934066
LSTM_seed2,LSTM,19110,0.5028780743066458,0.5083773026011293,0.5672967668629274,0.5362233938683851,0.004068997054795378,0.503750240367369,0.5653061224489796,0.5065934065934066
PLSTM-TAL_seed0,PLSTM-TAL,19110,0.5030873888016745,0.5100883411495256,0.48311124883792994,0.49623342175066315,0.006713558172987555,0.5025442597763556,0.47980115122972267,0.5065934065934066
PLSTM-TAL_seed1,PLSTM-TAL,19110,0.5019884877027734,0.509891435464415,0.43662844747443447,0.4704245729230427,0.005774120556374456,0.5033554205653068,0.43380429094714806,0.5065934065934066
PLSTM-TAL_seed2,PLSTM-TAL,19110,0.4943485086342229,0.5010132852961044,0.4596632579279,0.4794483650272046,-0.010400912034077272,0.49654512406363266,0.46478283621140765,0.5065934065934066
PLSTM_seed0,PLSTM,19110,0.49926739926739927,0.505524861878453,0.5292841648590022,0.5171317555634052,-0.0022714371686808313,0.4977857664152933,0.5304029304029304,0.5065934065934066
PLSTM_seed1,PLSTM,19110,0.49952904238618523,0.5057437407952872,0.5320731329408119,0.518574448807007,-0.0018154834749946032,0.4983617881301195,0.532967032967033,0.5065934065934066
PLSTM_seed2,PLSTM,19110,0.4998953427524856,0.5059466717820833,0.5448817270943085,0.5246928930223306,-0.0014174017024439077,0.5035491167062686,0.545578231292517,0.5065934065934066
