strategy,sharpe,ci_low,ci_high,p_sharpe_gt_0,deflated_sharpe,expected_max_sharpe_from_search
Buy&Hold,0.578265264345821,-0.14914243400111357,1.339399927311717,0.1104,0.0956843084522836,1.0548563571430092
RSI(14),0.42390837122430575,-0.3280380687672702,1.1845494952043694,0.2496,0.041217360968127954,1.0548563571430092
LSTM-TAL,0.14188608104792652,-0.59098538279905,0.9309456081724039,0.676,0.00604098473824676,1.0548563571430092
MACD,0.019729748908389695,-0.6457189165900739,0.6525791697178521,0.9496,0.0021860756940343374,1.0548563571430092
PLSTM-TAL,-0.05179105946702885,-0.7775922031720729,0.7055146217124828,0.9524,0.001151554005542568,1.0548563571430092
PLSTM,-0.17326095073723446,-0.9028894035149256,0.6066807275868278,0.6932,0.00035102823495324206,1.0548563571430092
LSTM,-0.27904291745727056,-1.0100100505299077,0.50770646765991,0.4956,0.00011389706371790806,1.0548563571430092
KDJ+RSI,-0.34350300206098294,-0.970193800487523,0.30981684391677544,0.3364,6.739824295798506e-05,1.0548563571430092
RandomControl,-1.38008637143445,-2.0425191545121466,-0.6949259872098039,0.0,7.893031707883944e-12,1.0548563571430092
MeanReversion,-1.4079567529096715,-2.0461818131658305,-0.765053290518832,0.0,9.607700650267214e-12,1.0548563571430092
